F7HWLFV0W9,18136717423124425855,4154,1736 n stelling rd,frederick,south dakota,17612,558
OGTAGFRE5N,27861584827454563722,7232,8398 harrison ct,miramar,south dakota,49732,758
RJ5J6XOAH9,52517735614681622438,8668,9915 dogwood ave,bozeman,utah,22413,857
WEA5PTY3MP,11587677766668562131,1766,4312 crockett st,baltimore,delaware,61415,856
S1YD6SMWKJ,41524177888174814112,5466,6684 timber wolf trail,hampton,nebraska,45838,848
Y59SHQF3R2,33488486658344381318,2762,3545 w gray st,downey,mississippi,96551,638
2VPTOVRCVW,58358371434827253651,3142,9737 college st,montgomery,west virginia,76391,256
BF9VU5I984,78374515161346771412,1261,6181 depaul dr,seagoville,indiana,43788,171
I42TSSAMUY,67216785762368571761,2252,468 prospect rd,lowell,ohio,76587,873
SM7LAJLSTF,64227818427488448377,2813,7978 preston rd,modesto,iowa,39124,137
T2O77OEVU1,64714558764724814728,5844,4936 hunters creek dr,redding,maine,55166,628
Y6UMOX7S2V,74121442188675354858,5435,9144 ranchview dr,norwalk,oklahoma,91520,326
7LJ53CRYYU,56646241112736835344,5432,2021 miller ave,fairfield,michigan,18232,232
WXV6O1ACIL,72741351223148332487,3548,6676 nowlin rd,corona,california,19287,754
JT1YF6D5MD,12651312276365646688,2373,4054 cherry st,irvine,maryland,90365,685
BPRD499442,77858621854461266463,2454,9782 edwards rd,huntington beach,washington,36114,177
67YVW1V8L6,57211278146533183283,2175,9693 rolling green rd,gilbert,north dakota,14037,258
P0TDEOAXRG,43171217412833371767,6752,8430 crockett st,knoxville,kansas,93820,228
OQSG0SOCB5,25166551546826216341,2871,6145 pecan acres ln,duncanville,wyoming,87538,866
D3OJ348R6K,18132326328516446356,1645,9334 hogan st,lewisville,new york,73832,176
5B4VNXPD5N,87672653241383855116,1722,9447 prospect rd,los lunas,washington,54201,444
SKP7SEFIOI,47631554412461655133,8685,3963 lovers ln,fort wayne,wyoming,57625,752
03NC5COXNR,17181675177264252428,4711,826 depaul dr,independence,virginia,59942,886
07U7U4GM0R,77725728628121653215,7624,3185 smokey ln,oakland,wyoming,83352,835
WNB32OB3IC,24122525366781555714,1825,7391 elgin st,high point,washington,57803,844
X7KTWG5NPE,81863622324235878357,7387,5284 paddock way,murrieta,utah,74804,626
G5P656TF51,71456174168377678854,2578,8154 dogwood ave,los lunas,new york,14261,261
BOAOEYCVPT,34128258216831283536,3122,5373 hickory creek dr,charlotte,mississippi,66475,185
9L93K4YR6J,18546537488864456871,1212,6665 lakeshore rd,west jordan,montana,35227,881
B4OV91U00D,13312257661475648648,1136,1225 green rd,thousand oaks,oklahoma,31668,622
JRKU2BVNTJ,41343587223255628733,7811,6116 white oak dr,pasadena,new jersey,18969,513
5DCDRURSC1,21411264822264878648,2484,9578 central st,manchester,alabama,67737,575
XBGBJXK9HJ,78555586847366716182,5131,1474 woodland st,amarillo,illinois,35260,562
EGV5E63MG4,82181677143115378871,8314,8226 royal ln,las vegas,michigan,38186,735
C6STH5T83G,74816136761726355615,3668,2000 mcclellan rd,westminster,louisiana,25157,484
JD34P85LTM,37233578338376558235,4231,8779 pecan acres ln,chattanooga,massachusetts,69632,225
T66EHRLKJ2,35653831733522427287,2842,5974 edwards rd,costa mesa,mississippi,71050,548
AQ360DMD4P,48853543611764672855,1521,5442 stevens creek blvd,knoxville,louisiana,68515,237
4NEA05LTP8,67676173515581234443,7787,8292 oak ridge ln,salinas,illinois,31068,732
AS08YW7EOG,34346526346252233288,4553,4089 woodland st,joliet,maryland,96881,148
RWQ2S9LALF,72327635342336851714,6581,2872 royal ln,norfolk,ohio,19143,178
TOMXAJ7N4D,82842877678134687626,3748,4244 wheeler ridge dr,evansville,wisconsin,58722,185
5QQITLD19C,31881441317422878842,2266,4485 fairview st,cupertino,nevada,20625,434
DRAQ08SVU0,54868272461176846535,4355,6625 shady ln dr,west palm beach,louisiana,93170,413
W868GRC6US,51377817415366142762,6668,9659 lone wolf trail,fairfield,oregon,13128,144
D0LUKTKXQI,23241687646381735721,4816,5266 first street,houston,montana,67528,218
O3V623ULGX,52412861611686371566,6556,8386 photinia ave,lexington,kentucky,62840,666
Y0U4X8T9PF,32253611867821181781,2234,2940 railroad st,sterling heights,alaska,36568,354
0CGJXD8NYH,63584384584547717351,7648,7967 dogwood ave,rochester,virginia,27813,577
WR1YTCBRJ7,57246675376885717148,2467,5633 w belt line rd,torrance,vermont,29228,768
1CP6POANML,56851631428486752188,6235,5414 dane st,st. petersburg,arkansas,21520,517
9TO8JXNBU2,27767845227633286654,1477,7232 wheeler ridge dr,glendale,new york,11103,421
RLOIW5RFV6,26548156318126824745,8327,8191 hickory creek dr,irvine,tennessee,11499,355
IR6YJ4G9FW,58833466755572237222,4348,4905 elgin st,miami gardens,connecticut,72540,666
L63JX3NRGI,43267288856123721226,2886,3216 elgin st,el monte,maryland,98597,553
HTC23W7O3F,74357766855331438665,2363,5117 washington ave,stanley,arkansas,55688,587
YNOSGEYR0L,11138766335162485413,5776,1260 cherry st,santa clarita,illinois,58695,854
6571RNL1DB,85247887727258766124,6572,4551 central st,jersey city,utah,18631,216
H9DBLBQDU6,12841588672558647686,6778,379 timber wolf trail,san antonio,massachusetts,12530,766
12LRKXMXJQ,26775642651816446177,6572,3536 e sandy lake rd,dumas,montana,55686,575
VGMQDRB80E,54366667644811621727,7171,1970 hamilton ave,norwalk,indiana,28163,553
826UANRM3J,68283441315753415858,5353,6252 valwood pkwy,shelby,arkansas,10257,315
PT9MAATCNO,53251144275451427225,2565,590 bollinger rd,anaheim,new jersey,44662,825
8TM43ST6O3,31143752524588844257,1676,4014 w pecan st,nampa,georgia,30335,622
Q04SB1486Y,36758653721345747283,2832,4810 w pecan st,elizabeth,hawaii,41354,478
FH254GVPRR,77754628282427885168,2341,8183 crockett st,providence,maine,19316,365
MFGQG43VQI,38363437356838342163,8342,2842 stevens creek blvd,nashville,wisconsin,29812,626
W8HM3OAWYN,47677883448276452236,2163,302 nowlin rd,tyler,tennessee,83511,634
N9H5ERN6KC,83362544543438564524,5513,6839 mcgowen st,sioux falls,south dakota,18357,776
12BVEI5QS8,18611174117777368585,4431,8903 mcgowen st,allentown,wyoming,42111,431
SSCUAEWE7N,61788575158317465463,2743,5042 w 6th st,el monte,tennessee,80811,481
TWHJCNPBVX,76382614873868631733,4868,4230 hamilton ave,edison,utah,59327,378
